School_ID,Healthy Schools Certified?,School_Survey_Safety,Safety_Score,Family Involvement Icon,Family_Involvement_Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,School_Survey_Effective_Leaders,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Student_Attendance_Avg,Rate of Misconducts (per 100 students) ,Teacher_Attendance_Avg,11th Grade Average ACT (2011) ,Graduation_Rate_School,College_Enrollment_Rate_School,Police_District
609674,No,Weak,27,Average,43,Weak,21,Weak,30,Weak,34,Weak,39,NDA,NDA,NDA,NDA,68.8,33.3,94.6,14.3,49.5,54,4
609676,No,Weak,29,Average,57,Weak,31,Weak,37,Average,57,Average,49,NDA,NDA,NDA,NDA,76.9,21.5,96,14.7,61.7,51.5,1
609678,No,Very Strong,92,NDA,NDA,Strong,64,Strong,67,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.8,4.5,95.3,24.8,90.1,86.9,1
609679,No,Average,59,Average,47,Average,53,Average,51,Weak,37,Average,44,Weak,46,Weak,45,86,9.7,94.4,17.9,78.7,58,25
609680,No,Very Strong,98,NDA,NDA,Very Strong,80,Strong,77,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.4,0.7,96.1,27,96.9,82.4,18
609682,No,Weak,30,Weak,23,Weak,32,Very Weak,19,Average,42,Weak,34,Weak,43,Average,47,90.6,17.3,95.7,14,57.3,43.1,9
609691,No,Average,42,NDA,NDA,Weak,39,Weak,25,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,88.6,15.3,95.6,15.4,69.7,41.3,25
609692,No,Average,52,NDA,NDA,Weak,33,Average,42,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,78.6,2.1,94.3,16.2,75.2,74,6
609693,No,Strong,74,Strong,72,Strong,77,Very Strong,80,Very Strong,86,Strong,71,Strong,54,Strong,60,93.6,2,96.8,NDA,NDA,NDA,11
609694,No,Average,51,Average,44,Average,44,Average,41,Weak,37,Average,42,Average,50,Weak,44,78.2,7.5,95.9,15.8,56.1,45.9,8
609695,No,Average,51,Average,44,Average,43,Average,42,Weak,27,Average,41,Weak,43,Weak,41,81.1,8.7,95.9,16.7,64.6,49.1,20
609698,No,Weak,20,NDA,NDA,Very Weak,18,Weak,29,NDA,NDA,NDA,NDA,Weak,41,Weak,38,75.2,5.8,94.3,15.2,52.5,50,8
609704,No,Average,43,NDA,NDA,Average,42,Weak,32,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,86.1,18.6,95.2,16,43.2,31.3,10
609705,No,Weak,36,Weak,28,Average,41,Weak,32,Average,46,Average,42,NDA,NDA,NDA,NDA,74.4,49.8,95.4,14,34.8,36.7,22
609708,No,Weak,26,NDA,NDA,Weak,28,Weak,23,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,84.3,10.3,94.8,15.3,59.7,40.9,16
609709,No,Very Weak,14,Average,43,Weak,29,Weak,37,Weak,38,Weak,35,NDA,NDA,NDA,NDA,72.5,19.5,94,14.1,52.8,40.3,8
609710,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,81.2,21.6,94.4,14.7,47.9,55.7,5
609711,No,Weak,22,Weak,32,Weak,39,Average,42,Weak,31,Weak,31,Average,49,Average,53,73,63.6,94.7,14.4,37,40.3,7
609712,No,Very Weak,13,Average,46,Weak,28,Weak,28,Average,52,Average,50,NDA,NDA,NDA,NDA,84.8,47.1,95.4,14.1,36.2,45.1,6
609713,No,Weak,29,Weak,39,Weak,34,Average,43,Weak,35,Average,41,NDA,NDA,NDA,NDA,70.5,18.5,94.2,15.6,51.1,57.6,3
609715,No,Weak,36,Average,53,Weak,36,Weak,35,Strong,61,Average,57,NDA,NDA,NDA,NDA,89.3,5.8,95.3,17.1,67.4,46.4,9
609718,No,Average,53,Weak,30,Weak,32,Weak,27,Weak,22,Weak,24,NDA,NDA,NDA,NDA,83,22,94.7,16.4,53.3,52.9,8
609719,No,Strong,64,NDA,NDA,Average,52,Average,43,NDA,NDA,NDA,NDA,Average,49,Weak,43,87.7,8.5,96.2,17.8,81.4,62.8,19
609722,No,Average,41,Weak,39,Average,43,Weak,31,Very Weak,19,Weak,32,NDA,NDA,NDA,NDA,66.8,19.7,95.4,13.8,49,51.9,11
609723,No,Average,51,Average,52,Average,45,Average,46,Average,49,Average,42,NDA,NDA,NDA,NDA,74.1,42.9,95.8,14.6,36.8,45.2,11
609724,No,Average,58,Average,44,Average,48,Average,47,Average,50,Average,56,NDA,NDA,NDA,NDA,87.6,7.6,96.5,15.9,56.2,57.4,20
609727,No,NDA,,Strong,71,NDA,,NDA,,Very Strong,80,Strong,79,NDA,NDA,NDA,NDA,63,22,96.1,15,40.3,42.6,2
609728,No,Average,42,NDA,NDA,Average,42,Weak,37,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,82.3,9.7,96.1,15.7,59.4,42.9,17
609729,No,Average,48,Weak,36,Weak,36,Weak,29,Weak,30,Weak,31,NDA,NDA,NDA,NDA,81.2,13.8,96,15.6,62.1,40.4,17
609730,No,Average,48,NDA,NDA,Average,45,Average,42,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,81.7,41.3,96.4,15.8,40.1,54.4,20
609732,No,Weak,26,Weak,35,Weak,29,Weak,34,Weak,36,Weak,32,NDA,NDA,NDA,NDA,79.2,30.4,96.2,16.1,56.7,47,25
609733,No,Weak,30,Average,44,Weak,34,Weak,34,Average,42,Weak,33,Weak,44,Weak,45,81.6,14.7,95.8,15.4,39.3,52.1,24
609735,No,Weak,34,Average,57,Average,45,Weak,37,Average,54,Weak,35,Average,51,Average,47,78.4,13,95.2,13.5,41.1,37,9
609737,No,Strong,70,Weak,39,Average,42,Average,51,Weak,26,Weak,29,NDA,NDA,NDA,NDA,87,4,95.6,20.4,88.2,78.5,17
609738,No,Strong,65,Strong,61,Average,44,Average,49,Average,45,Average,45,NDA,NDA,NDA,NDA,84.6,9.2,96,21.6,77.9,75.5,18
609739,No,Average,46,Average,53,Weak,36,Weak,36,Average,52,Average,46,NDA,NDA,NDA,NDA,80.2,12.7,95.1,15.5,71.6,50.9,4
609740,No,Average,51,Average,49,Average,41,Weak,38,Strong,65,Average,49,NDA,NDA,NDA,NDA,74.1,16.9,96.2,14.9,59.3,43.8,13
609741,No,Average,42,NDA,NDA,Weak,34,Weak,29,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,89.3,4.3,96.4,17.3,57.2,51.3,8
609744,No,Very Strong,99,Very Strong,99,Very Strong,81,Weak,34,Strong,75,Very Strong,84,Strong,62,Strong,59,89.8,5.3,95.6,NDA,0,NDA,17
609745,No,NDA,,Average,52,NDA,,NDA,,Average,47,Strong,60,Strong,63,Strong,60,85.5,13.1,95.2,NDA,71.7,NDA,7
609749,No,Very Strong,99,NDA,NDA,Very Strong,99,Very Strong,88,NDA,NDA,NDA,NDA,Strong,57,Strong,62,95.7,2.8,96.8,28.8,97.6,90.7,17
609751,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Strong,56,Average,52,92.9,4.4,96.3,20.5,75.4,85.1,2
609753,No,Very Strong,87,Strong,77,Average,49,Average,47,Average,57,Average,40,Average,52,Strong,55,92.8,5.2,95.2,20.4,70.7,79.6,22
609754,No,Weak,32,NDA,NDA,Weak,23,Weak,35,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,90.3,28.2,95.6,17.4,83.6,69.3,2
609756,No,Average,43,Weak,35,Weak,37,Average,45,Weak,33,Weak,39,NDA,NDA,NDA,NDA,85,9.1,95,16.9,76.1,61.3,8
609759,No,Average,44,Weak,31,Weak,39,Weak,34,Weak,28,Weak,25,NDA,NDA,NDA,NDA,69.6,20.6,94.2,15.4,49.5,41.5,13
