School_ID,Attendance_Boundaries,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Dress_Code,College_Enrollment_Rate_School,Graduation_Rate_School,Culture_Climate_Rating,Creative_School_Certification,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,Student_Attendance_Avg,Teacher_Attendance_Year_1_Pct,Teacher_Attendance_Year_2_Pct,Teacher_Attendance_Avg,Supportive_School_Award,SAT_Grade_11_Score_School_Avg,School_Latitude,School_Longitude
400013,TRUE,257,206,48,134,8,245,3,1,0,0,0,0,0,0,TRUE,30.5,74.5,WELL ORGANIZED,STRONG,STRONG,STRONG,NEUTRAL,NEUTRAL,STRONG,WEAK,85.8,84.5,85.15,,,,NOT RATED,860,41.937298,-87.727096
400022,FALSE,601,325,64,37,213,243,117,10,3,0,0,14,1,0,FALSE,73.4,86.3,PARTIALLY ORGANIZED,EXCELLING,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,WEAK,VERY WEAK,94.4,95.3,94.85,,,,EMERGING,957,41.899377,-87.694945
400032,FALSE,220,181,47,2,212,8,0,0,0,0,0,0,0,0,TRUE,41.4,69.2,ORGANIZED,DEVELOPING,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,WEAK,79.5,82.1,80.8,,,,NOT RATED,739,41.748382,-87.66898
400034,FALSE,837,636,180,293,56,508,122,130,4,0,0,7,9,1,TRUE,63.5,91.8,WELL ORGANIZED,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,VERY STRONG,WEAK,98.3,89.2,93.75,,,,NOT RATED,920,41.990245,-87.726504
400051,FALSE,670,512,85,161,106,524,16,11,2,0,0,8,0,3,TRUE,86.7,95,WELL ORGANIZED,EXCELLING,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,WEAK,67.5,86.9,77.2,,,,NOT RATED,907,41.900191,-87.662628
400053,FALSE,647,538,105,171,177,439,12,1,3,0,0,6,1,8,TRUE,78.7,86.8,PARTIALLY ORGANIZED,INCOMPLETE DATA,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,NEUTRAL,NOT ENOUGH DATA,62.9,82.5,72.7,,,,NOT RATED,905,41.895282,-87.664483
400054,FALSE,992,885,132,370,48,924,9,5,6,0,0,0,0,0,TRUE,85.7,94.5,ORGANIZED,INCOMPLETE DATA,STRONG,STRONG,STRONG,WEAK,NEUTRAL,WEAK,85.2,88.6,86.9,,,,NOT RATED,935,41.915214,-87.730127
400055,FALSE,599,446,83,130,145,426,14,1,3,0,0,6,0,4,TRUE,79.6,86.7,NOT ENOUGH DATA,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,79,81.6,80.3,,,,NOT RATED,904,41.892425,-87.660859
400056,FALSE,340,290,74,27,291,45,0,0,0,0,0,3,0,1,TRUE,53.4,79.1,NOT ENOUGH DATA,DEVELOPING,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,66,79.2,72.6,,,,NOT RATED,830,41.895362,-87.718047
400057,FALSE,935,806,125,135,390,476,15,45,1,0,0,3,2,3,TRUE,84.4,93,PARTIALLY ORGANIZED,DEVELOPING,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,WEAK,NOT ENOUGH DATA,84.4,81.9,83.15,,,,NOT RATED,907,41.865817,-87.676111
400058,FALSE,315,290,85,2,304,8,1,0,0,0,0,1,0,1,TRUE,66.7,79.5,ORGANIZED,DEVELOPING,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,VERY WEAK,79.4,78.7,79.05,,,,ESTABLISHED,783,41.858564,-87.708987
400059,FALSE,352,334,63,1,340,8,1,0,0,0,0,0,0,3,TRUE,58.7,70.1,WELL ORGANIZED,DEVELOPING,VERY STRONG,NEUTRAL,STRONG,STRONG,VERY STRONG,VERY WEAK,78.2,71.7,74.95,,,,ESTABLISHED,795,41.864146,-87.700681
400062,FALSE,404,343,58,4,392,9,0,1,0,0,0,1,0,1,TRUE,46.4,78.9,WELL ORGANIZED,DEVELOPING,VERY STRONG,NEUTRAL,STRONG,STRONG,STRONG,WEAK,79.6,79.9,79.75,,,,EMERGING,807,41.745949,-87.650657
400085,FALSE,627,534,111,259,3,608,12,1,2,0,0,1,0,0,TRUE,58.7,88.7,PARTIALLY ORGANIZED,EXCELLING,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,WEAK,82.3,81.3,81.8,,,,NOT RATED,859,41.809171,-87.730467
400086,FALSE,97,84,22,2,94,3,0,0,0,0,0,0,0,0,TRUE,50,77.8,WELL ORGANIZED,INCOMPLETE DATA,STRONG,STRONG,VERY STRONG,STRONG,STRONG,WEAK,80,90,85,,,,ESTABLISHED,771,41.781498,-87.634357
400091,FALSE,392,361,85,22,335,50,3,0,0,0,0,3,1,0,TRUE,31.1,94.7,NOT YET ORGANIZED,STRONG,VERY WEAK,NEUTRAL,WEAK,WEAK,WEAK,WEAK,82.5,83.6,83.05,,,,NOT RATED,819,41.863301,-87.659095
400094,FALSE,266,240,56,57,146,109,3,0,0,0,0,0,0,8,TRUE,50.5,76,NOT YET ORGANIZED,EMERGING,WEAK,NEUTRAL,NEUTRAL,VERY WEAK,WEAK,VERY WEAK,81,78.6,79.8,,,,NOT RATED,816,41.744849,-87.550222
400097,FALSE,1155,993,209,157,575,553,12,1,4,0,0,5,0,5,TRUE,82.6,93.8,MODERATELY ORGANIZED,EXCELLING,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,WEAK,WEAK,78,83.5,80.75,,,,NOT RATED,903,41.878809,-87.678195
400098,FALSE,961,765,124,138,429,465,12,48,2,0,0,1,2,2,TRUE,75.3,95.5,ORGANIZED,EXCELLING,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,VERY WEAK,76.6,85.2,80.9,,,,NOT RATED,913,41.88274,-87.626338
400104,FALSE,545,427,104,290,17,520,6,0,1,0,0,0,1,0,TRUE,29.3,88.6,PARTIALLY ORGANIZED,INCOMPLETE DATA,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,WEAK,WEAK,97,79.9,88.45,,,,NOT RATED,856,41.845967,-87.68724
400105,FALSE,170,124,43,3,163,4,0,0,0,0,0,1,0,2,TRUE,54,78.9,ORGANIZED,INCOMPLETE DATA,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,WEAK,WEAK,90.7,91.9,91.3,,,,EMERGING,810,41.831118,-87.613629
400106,FALSE,460,417,100,5,437,18,2,0,1,0,0,0,1,1,FALSE,62.1,76.3,PARTIALLY ORGANIZED,DEVELOPING,NEUTRAL,NEUTRAL,STRONG,WEAK,WEAK,WEAK,62.8,76,69.4,,,,NOT RATED,806,41.778369,-87.635117
400117,FALSE,514,392,108,4,504,5,1,0,0,0,0,3,1,0,TRUE,75.2,82.5,PARTIALLY ORGANIZED,INCOMPLETE DATA,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,WEAK,VERY WEAK,74.2,83.6,78.9,,,,NOT RATED,867,41.734442,-87.650987
400118,FALSE,364,296,97,2,356,7,0,0,0,0,0,0,0,1,TRUE,55.6,75.9,PARTIALLY ORGANIZED,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,VERY WEAK,VERY WEAK,NOT ENOUGH DATA,50.3,72,61.15,,,,NOT RATED,793,41.869328,-87.711654
400119,FALSE,217,183,43,1,213,3,0,0,0,0,0,1,0,0,TRUE,62,76.9,MODERATELY ORGANIZED,DEVELOPING,STRONG,NEUTRAL,STRONG,WEAK,WEAK,VERY WEAK,75.6,79.9,77.75,,,,EMERGING,778,41.881733,-87.733778
400123,FALSE,111,82,20,0,106,3,1,0,0,0,0,0,0,1,TRUE,12.1,,ORGANIZED,EMERGING,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,60.3,45.8,53.05,,,,NOT RATED,,41.880447,-87.742539
400124,FALSE,92,71,23,1,86,4,2,0,0,0,0,0,0,0,FALSE,14.9,,ORGANIZED,EMERGING,NOT ENOUGH DATA,STRONG,STRONG,NEUTRAL,WEAK,WEAK,71.4,70.7,71.05,,,,EMERGING,770,41.841331,-87.625331
400125,FALSE,196,144,32,74,9,183,3,0,0,0,0,0,1,0,TRUE,11.3,,MODERATELY ORGANIZED,INCOMPLETE DATA,NOT ENOUGH DATA,STRONG,NEUTRAL,WEAK,NEUTRAL,WEAK,70.6,67.7,69.15,,,,NOT RATED,783,41.938187,-87.727137
